Player,Year,Pk,G,PPG,APG,Start%,All-NBA,All Star,All-Defense,3P%,3PM_36,PTS_36,AST_36,REB_36,OBPM,DBPM,TS%,USG%,TOV%
Tyler Herro,2019,13.0,284.0,18.114084507042257,3.658450704225352,0.49295774647887325,0.0,0.0,0.0,0.3849789915966387,2.919672493914583,20.50143837132109,4.126576676255809,5.588404514273069,0.8811573356937377,-0.9111529099358265,0.556734233237442,25.773567160876304,11.705277716308917
Romeo Langford,2019,14.0,141.0,4.599290780141844,0.6822695035460993,0.22695035460992907,0.0,0.0,0.0,0.2879581151832461,0.873015873015873,10.317460317460318,1.5396825396825398,4.73015873015873,-3.1276014109347443,-0.24223985890652555,0.49697707231040567,13.451234567901235,9.432539682539682
Sekou Doumbouya,2019,15.0,96.0,5.654166666666666,0.6645833333333334,0.3125,0.0,0.0,0.0,0.2558139534883721,1.2080536912751678,11.904820012202563,1.4496644295302012,5.864551555826724,-5.1693715680292875,-1.2356924954240391,0.4684191580231849,17.520683343502135,12.260890787065282
Chuma Okeke,2019,16.0,189.0,6.285714285714286,1.452910052910053,0.291005291005291,0.0,0.0,0.0,0.3176470588235294,2.0292275574112737,11.170146137787057,2.592901878914405,6.613778705636744,-1.9772181628392487,0.9180584551148225,0.49814091858037585,14.934525052192066,9.811795407098122
Nickeil Alexander-Walker,2019,17.0,299.0,8.310033444816053,2.199665551839465,0.1939799331103679,0.0,0.0,0.0,0.35388513513513514,2.5701141591412506,15.24280115863009,4.042255920940535,4.189470097120464,-1.5829783608791959,0.08716987561765205,0.5301320497529393,19.887152836939855,12.63279945476231
Goga Bitadze,2019,18.0,249.0,4.937751004016064,0.9285140562248998,0.22088353413654618,0.0,0.0,0.0,0.24481327800829875,0.6689763779527559,13.946456692913387,2.6418897637795276,9.705826771653543,-1.3336692913385826,1.3082519685039373,0.5799741732283464,16.648188976377952,12.99395275590551
Luka Šamanić,2019,19.0,86.0,4.46046511627907,0.6325581395348838,0.18604651162790697,0.0,0.0,0.0,0.2465753424657534,1.4071661237785016,15.009771986970684,2.1498371335504887,8.208469055374593,-4.238436482084691,-1.4024972855591746,0.5055743756786102,20.31541802388708,13.621932681867536
Matisse Thybulle,2019,20.0,332.0,4.750903614457831,1.0731927710843374,0.35843373493975905,0.0,0.0,2.0,0.3377885783718105,1.4385510996119018,8.20698576972833,1.8628719275549805,3.404915912031048,-2.6001149920942934,3.318528101193043,0.548352163288774,10.220684202961047,11.318758085381631
Brandon Clarke,2019,21.0,243.0,10.711522633744856,1.4016460905349795,0.12345679012345678,0.0,0.0,0.0,0.2857142857142857,0.3471552555448409,18.06595949855352,2.3814850530376086,9.421793635486981,1.6421215043394406,1.1534811957569913,0.6351922854387657,17.894387656702023,8.025785920925749
Grant Williams,2019,22.0,364.0,7.016483516483517,1.4233516483516482,0.2774725274725275,0.0,0.0,0.0,0.37747747747747745,1.8325841331551451,11.187948001457903,2.252460211395942,5.733932693475884,-2.3303729801968167,0.4622281618272385,0.5866058802089661,13.409998785080791,14.228696391689953
